부품번호,품명수정
1472021006S,클램프－호스
253312P044,클램프－호스
3530904AA0,클립－연료 인젝터
1472017006S,클램프－호스
1472024006S,클램프－호스
2312503301,크랑크
2222604100,태핏
2222604101,태핏
2222604114,태핏
2222604121,태핏
2222604126,태핏
2222604120,태핏
2560007500,ITM
2560007600,ITM
2560008000,ITM
2823103010,터보차져
2823103200,터보차져
2823104500,터보차져
2823104560,터보차져
2823104950,터보차져
2823107600,터보차져
2442004000,텐셔너 암
2442004070,텐셔너 암
2442004071,텐셔너 암
2442007010,텐셔너 암
2528003820,오토텐셔너_밸트
2528104501,오토텐셔너_밸트
2528104520,오토텐셔너_밸트
2528104600,오토텐셔너_밸트
2528104600QQK,오토텐셔너_체인
2528107003,오토텐셔너_밸트
2528107006,오토텐셔너_밸트
2528107480,오토텐셔너_밸트
2446007010,텐셔너 어셈블리－오일 펌프 체인
2441003000,오토텐셔너_체인
2441004000,오토텐셔너_체인
2441004001,오토텐셔너_체인
2441004070,오토텐셔너_체인
2441004071,오토텐셔너_체인
2441007010,오토텐셔너_체인
2441008000,오토텐셔너_체인
2547204200,튜브-리턴
2826007600,파이프 & 호스 어셈블리-T/C 워터 피드
2824504501,파이프 & 호스 어셈블리-오일 드레인 터보챠져
2545008000,파이프 & 호스 어셈블리-히터 파이프
2842004900,파이프 어셈블리－EGR
2842007000,파이프 어셈블리－EGR
2824003010,파이프 어셈블리－오일 피드
2824004501,파이프 어셈블리－오일 피드
2824007600,파이프 어셈블리－오일 피드
2825007600,파이프 어셈블리-워터 리턴
3530507100,파이프 어셈블리-저압 연료
2545003800,파이프 어셈블리－히터
2545004212,파이프 어셈블리－히터
2545004800,파이프 어셈블리－히터
2545003060,파이프 어셈블리－히터
2547104200,파이프 호스 어셈블리-오일 쿨러(1)
2546904220,파이프 호스 어셈블리-오일 쿨러
2844004900,파이프－EGR
2844007000,파이프－EGR
2844008000,파이프－EGR
3534004000,파이프－딜리버리
3534007200,파이프－딜리버리
3530504210,파이프-로어 프레셔
2825004550,파이프－워터 드레인
2545107001,파이프－히터
0K71E13671,패킹
2244242001,패킹
2151003300,오일팬
2151003800,오일팬
2151004000,오일팬
2151004401,오일팬
2151007000,오일팬
2151008000,오일팬
215004Z401,오일팬
3532003AA0,고압펌프
3532004200,고압펌프
3532004250,고압펌프
3532607150,고압펌프
3532607250,고압펌프
0K65A13800K,인젝션 펌프
0K60E13800E,인젝션 펌프
3310442750,인젝션 펌프
3310242690,인젝션 펌프
3310242510,인젝션 펌프
331004Z600,인젝션 펌프
331004Z500,인젝션 펌프
2131003300,오일펌프
2131003800,오일펌프
2131003900,오일펌프
2131007000,오일펌프
2131007500,오일펌프
0K65A14100E,오일펌프
2881004070,진공펌프
2881004075,진공펌프
2881007070,진공펌프
2510003010,워터펌프
2510003011,워터펌프
2510003800,워터펌프
2510004020,워터펌프
2510004040,워터펌프
2510004050,워터펌프
2510007010,워터펌프
2510007501,워터펌프
2510008001,워터펌프
251002B700,워터펌프
251004Z000,워터펌프
3534604000,폼-펌프
3732204630,알터네이터
3732204950,알터네이터
2312402200,풀리－댐퍼
2312403800,풀리－댐퍼
2312404520,풀리－댐퍼
2312404800,풀리－댐퍼
2312407000,풀리－댐퍼
2312408200,풀리－댐퍼
2528603822,아이들러
2528607001,아이들러
2522104010,워터펌프 풀리
2522108001,워터펌프 풀리
2852503415,프로텍터-히트
2852503900,프로텍터-히트
2852504500,프로텍터-히트
2852604500,프로텍터-히트
2852607601,프로텍터-히트
2321003010,플라이휠
2321003020,플라이휠
2320004010,플라이휠
2320004100,플라이휠
2320007000,플라이휠
2320007510,플라이휠
2320007800,플라이휠
2320008200,플라이휠
2320003900,플라이휠
2320003950,플라이휠
2212907500,플러그
1884308062,스파크 플러그
1884310062,스파크 플러그
1884408070,스파크 플러그
1884410060,스파크 플러그
1884610060,스파크 플러그
1885810090,스파크 플러그
1886808115,스파크 플러그
1887208085,스파크 플러그
1887611092,스파크 플러그
1887911080,스파크 플러그
2151223000,오일팬 볼트
1571710083,플러그－테이퍼
1571717123,플러그－테이퍼
2113303000,플러그－테이퍼
2612203000,플런저－릴리프
2320003020,플레이트－드라이브
2320003160,플레이트－드라이브
2320003BP2,플레이트－드라이브
2320004810,플레이트－드라이브
2321104070,플레이트－드라이브
2321107060,플레이트－드라이브
2304104802,피스톤 & 핀 어셈블리
2304104812,피스톤 & 핀 어셈블리
2304103331,피스톤 & 핀 어셈블리
2304103AB3,피스톤 & 핀 어셈블리
2304104051,피스톤 & 핀 어셈블리
2304104400,피스톤 & 핀 어셈블리
2304103AA3,피스톤 & 핀 어셈블리
234104Z900,피스톤 & 핀 어셈블리
2563103800,인렛 피팅
2563104000,인렛 피팅
2563104010,인렛 피팅
2563104012,인렛 피팅
2563104020,인렛 피팅
2563104051,인렛 피팅
2563108015,인렛 피팅
2563104011,인렛 피팅
2563107521,인렛 피팅
2563107600,인렛 피팅
1430310200,핀－다우웰
437771G100,기타
2341203000,핀－피스톤
2341204510,핀－피스톤
2630002503,오일필터
2630035504,오일필터
3534107250,하니스－인젝터
3534203AC0,하이 프레셔 센서
353422E610,하이 프레셔 센서
2211007510,헤드
2211008010,헤드
62AU508F00,헤드
75AU507F00,헤드
76AU507F00,헤드
2211007010,헤드
11AU504P00,헤드
18AU504P00,헤드
2210003600,헤드
2210004550,헤드
2210004800,헤드
22100CYLHD,헤드
41AU503P00,헤드
58AU504P00,헤드
61AU504F00,헤드
70AU503F00,헤드
73AU503F00,헤드
W508504P00,헤드
0K65C10100,헤드가스켓
2547507201,호스
2546804200,호스 ＂B＂어셈블리－워터
2546804220,호스 ＂B＂어셈블리－워터
2546804800,호스 ＂B＂어셈블리－워터
2546904800,호스 ＂B＂어셈블리－워터
2843007600,호스 아세이-EGR 가스
2842307000,"호스 어셈블리-EGR 쿨러,아웃"
2823904550,호스 어셈블리－브리더
2548003800,호스 어셈블리－브리더
2546207200,호스 어셈블리-리턴
2671004090,호스 어셈블리－브리더
2547003011,호스 어셈블리-워터
2547003600,호스 어셈블리-워터
2842607600,호스 어셈블리-워터
2842407600,호스 어셈블리-워터 인넷
2545207201,호스 어셈블리-히터
2842204900,호스－EGR 쿨러 ＂A＂
2842207000,호스－EGR 쿨러 ＂A＂
2565204800,호스-버큠
2565204800,호스-버큠
2824507600,호스－오일
2547107611,호스－오일 쿨러
2546003800,호스－오일 쿨링 리턴
2545208000,호스-워터
0VN0113H50C,홀드 어셈블리-노즐
2314104020,휠－크랭크 샤프트 포지션 센서
2222604119,태핏
2563408030,가스켓-인렛
1140308256K,볼트
2825404500,볼트－아이 조인트
2135008000,체인커버
89AQ103F00,서브엔진
2630035505,오일필터
2222604117,태핏
283242GGB0,밸브－솔레노이드
221612A050,스터드
2240007070,가스켓－로커 커버
2672004090,호스 어셈블리-PCV
2661107001,로드 어셈블리－오일 레벨 게이지
282564A421,너트
2437607170,익스텐션 와이어
214142B010,커버
1433108130,부쉬-녹
3940307000,익스텐션 와이어
2312404020,풀리－댐퍼
2420007000,캠샤프트
2849107600,가스켓-EGR 파이프
2852107500,가스켓－터보챠저
2835007600,호스 어셈블리-버큠
1125406206B,볼트
2853508210,가스켓－캐털리스트 케이스
2522104020,워터펌프 풀리
2131008010,오일펌프
2351007001,콘로드
214432B000,리어오일씰
87AT207F00,쇼트엔진
2546107200,파이프-리턴
2514008001,워터펌프
2852507401,프로텍터-히트
2545207801,호스 어셈블리-히터
2131208000,스프로켓－오일 펌프 체인
2546207800,호스 어셈블리-리턴
2547207701,파이프 호스 어셈블리-오일 쿨러(1)
2650222600,패킹－오일 필러 캡
2672004110,호스 어셈블리-PCV
3737007100,알터네이터
2545004810,파이프 어셈블리－히터
266152B000,오링
2730104010,이그니션 코일
2548225006,클램프－호스
2842008100,"파이프 어셈블리 - EGR, A"
2563003100,피팅 어셈블리－쿨런트 흡기
0K65A11500F,플라이휠
4130048700,가스켓－클러치 커버
2111007001,쇼트엔진
3310442740,인젝션 펌프
0K65A10236C,가스켓－헤드 커버
0K6A110155,실-밸브
411004B080,디스크 어셈블리－클러치
2241042510,가스켓－로커 커버
0K75615171C,서모스텟
0K75A10100,헤드
2321104850,플레이트－드라이브
2331107000,플라이휠
2311142920,크랑크
2852507040,프로텍터-히트
0K65A10300H,쇼트엔진
3532607FF0,고압펌프
2823107500,터보차져
2730107TA0,이그니션 코일
3531007FF0,인젝터
393602T500,압력센서 - 크랭크케이스 벤틸레이
2510007510,워터펌프
2528107005,오토텐셔너_밸트
393002M500,BPS
353422M400,하이 프레셔 센서
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
