클레임유형,공장,생산법인,판매지역,수출국가,해외내수,등급,귀책구분,최종확정,차종,RO번호,차대번호,"원인부품
분류코드",부품번호,부품대분류,부품중분류,부품명,"직거래
/직개발",불량구분,"부품
대분류",부품계통,현상명(재분류),HKMC 현상,HKMC 현상명,HKMC 원인,HKMC 원인명,"파셜화
대상여부","Assy/
Partial",DTC 1번째,DTC 2번째,DTC 3번째,"생산
년월일",생산월,생산년,"판매
년월일",판매월,판매년,"선적
년월일",선적월,"정비등록
년월일",정비등록월,"정비확정
년월일",정비확정월,"데이터적재
년월일","데이터적재
년월",실적년,총주행거리(Km),"판매소요
일수","차량사용
일수","차량사용
기준개월","정비작업
코드",정비망코드,정비망,"해외딜러
코드",수리권역,수리지역,직/간접망구분,정비사업소명,"정비특이사항
코드","정비특이사항
제목명","품질특이사항
내용","품질특이사항
(번역)","클레임
발생구분","확정
부품금액","확정
부품금액",수리금액,외주금액,"차대번호
엔진코드","변속기
코드",엔진넘버,엔진명,엔진생산일,"트랜스미션
번호","개발업체
코드",납품업체,3M 100만,'12M 100만,36M 100만,이의제기,이의제기(기타),실적확정,신규RO조합,현대위아 현상,현대위아 현상명,현대위아 원인,현대위아 원인명,등록번호,접수자,"위아
처리구분","위아
진행단계",개선부문,경과일,의뢰일자,중복문제,재발여부,안전문제,심각도,협력사담당자
W:일반 클레임,서산1엔진,HMMC,유럽,독일,수출,B,,미확정,PDH,C07AB2315 251017010,TMAH351BANJ170850,27301,2730108200,카파엔진,이그니션코일,코일 어셈블리－이그니션,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ4,단품 재질 불량,비해당,비해당,P030000,P030100,,2021/10/18,2021/10,2021,2022/02/21,2022/02,2022,2021/10/19,2021/10,2025/10/07,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,94143,126,1324,45,27301F01,C07AB,,2315,유럽,,,,-,-,"[C]Fahrzeug hat w?hrend der Fahrt angefangen zu ruckeln.
[T]Z?ndfehler Zylinder 1, Z?ndspule quergetauscht, Fehler wandert mit","[C]주행 중 차량이 흔들리기 시작했습니다.
[T]점화 결함 실린더 1, 점화 코일 교차 교체, 결함이 차량과 함께 이동합니다.",,16.6,66.64,83.24,0,DOHC - LPI,MANUAL T/M - 6 SPEED 2WD,G3LEMD136036,G3LⅢ1.0T-GDi,20210726,FMJ6F629318,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C07AB-2315-251017010-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HAOS,유럽,독일,수출,B,,미확정,BC3,C07AB2225251011000,NLHBN51GAMZ036335,22441,2244107070,카파엔진,헤드커버가스켓,가스켓－로커 커버,직개발,,E,엔진,누유/누기/누수,L24,엔진오일 문제_누유,ZZ1,구조적 문제(설계),해당,Partial,,,,2021/01/15,2021/01,2021,2021/10/07,2021/10,2021,2021/01/20,2021/01,2025/10/07,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,74326,265,1461,49,22410R3G,C07AB,,2225,유럽,,,,-,-,"[C]Oelgeruch beim Fahren
[R]Ventildeckeldichtung erneuert
[T]Ventildeckeldichtung undicht","[C]주행 시 오일 냄새
[R]밸브 커버 개스킷 교체
[T]밸브 커버 개스킷 누출",R,20.98,98.01,118.99,0,DOHC - TCI/GDI,MANUAL T/M - 6 SPEED 2WD,G3LFLD175110,G3LⅢ1.0T-GDi,20201020,FLJ6B924396,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C07AB-2225-251011007-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HAOS,유럽,독일,수출,B,,미확정,AC3,C07AB2166251017000,NLHDN51AANZ148103,27301,2730107000,카파엔진,이그니션코일,코일 어셈블리－이그니션,직거래,,E,엔진,진동/떨림,V71,엔진 진동/떨림_가속시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P030100,P030000,,2022/05/17,2022/05,2022,2022/12/05,2022/12,2022,2022/05/27,2022/05,2025/09/26,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,80025,202,1026,35,27301R00,C07AB,,2166,유럽,,,,-,-,"[C]Fzg vibriert und wackelt - meist auf der Autobahn
Kaum leistung vorhanden - beschleunigt nicht gut
Mil leuchtet
[R]Z?ndspule 1ster Zylinder erneuert
[T]P030000 Unregelm?ßige / mehrfache Fehlz?ndungen erkannt
P030100 Zylinder 1 - Fehlz?ndungen erkannt
Z?ndspule 1ster Zyl. Funkendurchschlag
[D]17.10.2025 Michael Pauketat ( -221 )","[C] 차량이 진동하고 흔들림 - 주로 고속도로에서 발생함
사용 가능한 동력이 거의 없음 - 가속이 잘 되지 않음
밀 점등
[R]점화 코일 1기통 교체됨
[T]P030000 불규칙 / 다중 실화 감지됨
P030100 실린더 1 - 실화 감지됨
점화 코일 1 실린더 점화 실패
[D]17.10.2025 마이클 포케타 ( -221 )",F,58.47,70.66,129.13,0,DOHC - GDI,MANUAL T/M - 5 SPEED 2WD,G3LDMD169656,κ 1.0,20210916,MN2286377307,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C07AB-2166-251017007-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HAOS,유럽,독일,수출,B,,미확정,AC3,C07AB2091251016000,NLHDR51D4RZ235863,27301,2730107100,카파엔진,이그니션코일,코일 어셈블리－이그니션,직거래,,E,엔진,소음,Q75,엔진 소음/이음_주행중,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P030000,P030100,,2023/08/11,2023/08,2023,2023/10/24,2023/10,2023,2023/08/18,2023/08,2025/09/26,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,35347,74,703,24,27301R00,C07AB,,2091,유럽,,,,-,-,"[C]Fzg. wurde hergeschleppt, Fzg. macht komische Ger?usche pr?fen, inst.
[R]Z?ndspule Zyl. 1 ers.
[T]komische Ger?usche laut Kunden: Motorkontrolle blinkt, Fzg. ruckelt, Fzg. mit GDSS pr?fen, 
Z?ndspule von Zyl. 1 auf 3 quergetauscht, Fehler wandert mit Z?ndspule Zyl. 1 defekt
[D]17.10.2025 Michael Pauketat ( -221 )","[C]차량이 여기로 견인되었고, 차량에서 이상한 소리가 납니다, 점검, 수리.
[R]점화 코일 실린더 1 교체.
[T]고객에 따른 이상한 소음: 엔진 제어 장치 깜박임, 차량 경적음, GDSS로 차량 점검,
점화 코일이 실린더 1에서 3으로 교체됨, 점화 코일 실린더 1 결함으로 결함 이동
[D]17.10.2025 마이클 포케타 ( -221 )",R,51.91,69.6,121.51,0,DOHC - TCI/MPI,MANUAL T/M - 5 SPEED 2WD,G3LEPD108596,G3LⅢ1.0T-GDi,20230529,TPM50J649833,,서산1엔진,비대상,비대상,대상,비해당,,확정,1-GWMSH-@-@-@-@-0-@-C07AB-2091-251016009-0-1,,,,,,,,,,,,,,Y,,
W:일반 클레임,서산1엔진,HMMC,유럽,독일,수출,B,,미확정,PDH,C07AB2082 251017001,TMAH351BAMJ140008,24410,2441007010,카파엔진,체인텐셔너,텐셔너 어셈블리-타이밍 체인,직거래,,E,엔진,소음,Q72,엔진 소음/이음_공회전시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",해당,Partial,,,,2020/09/01,2020/09,2020,2020/09/29,2020/09,2020,2020/09/02,2020/09,2025/09/26,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,39844,28,1823,61,24322R1M,C07AB,,2082,유럽,,,,-,-,"[C]Rasselger?usche aus dem Motorbetrieb
[R]Kettenspanner ersetzen
Steuerkettensatz ersetzen
[T]Rasselger?usche aus dem Motorbetrieb
Kettenspanner h?lt den ?ldruck nicht
Steuerkette gelenkt","[C]엔진 작동 시 덜거덕거리는 소음
[R]체인 텐셔너 교체
타이밍 체인 세트 교체
[T]엔진 작동 시 덜거덕거리는 소음
체인 텐셔너가 오일 압력을 유지하지 못함
타이밍 체인이 걸림",,159.28,339.74,499.02,0,DOHC - LPI,MANUAL T/M - 6 SPEED 2WD,G3LFLD096068,G3LⅢ1.0T-GDi,20200629,FLJ6F910544,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C07AB-2082-251017001-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMMC,유럽,폴란드,수출,B,,미확정,PDH,C07AB1639 251017003,TMAH381BAPJ141904,28450,2845007100,카파엔진,,밸브 어셈블리－EGR,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",,,P040400,,,2023/05/29,2023/05,2023,2023/06/30,2023/06,2023,2023/06/01,2023/06,2025/09/22,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,24893,32,815,28,28320R5T,C07AB,,1639,유럽,,,,-,-,"[C]Kunde gibt an: MIL aktiv pr?fen
[R]AGR Ventil erneuert
[T]1 Fehlerspeicher ausgelesen --> P040400 (Historie) (wurde schon mal gel?scht - kam wieder)
2 AGR angesteuert und Datenaufzeichnung kontrolliert --> AGR steuert an und Weger?ckmeldung ist i.O.
3 Steckverbindung kontrolliert. Verkabelung usw. laut DTC Anleitung durchgef?hrt --> i.O.
4 elektrische Fehl","[C]고객이 지정합니다: MIL 활성화 확인
[R]EGR 밸브 교체
[T]1 결함 메모리 읽기 --> P040400(기록)(이미 한 번 삭제되었음 - 다시 돌아옴)
2 EGR 활성화 및 데이터 기록 확인 --> EGR 활성화 및 주행 피드백 정상.
3 플러그 연결 확인. DTC 지침에 따라 배선 등 수행 --> 확인.
4 전기적 결함",,133.54,363.94,497.49,0,DOHC - LPI,MANUAL T/M - 6 SPEED 2WD,G3LEPD064859,G3LⅢ1.0T-GDi,20230403,FPJ6F954243,,서산1엔진,비대상,비대상,대상,비해당,,확정,1-GWMSH-@-@-@-@-0-@-C07AB-1639-251017003-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,유럽,프랑스,수출,B,,미확정,JA,C06VAFR637KM2500000,KNAB3511ALT573972,35310,3531003BB0,카파엔진,인젝터,인젝터 어셈블리－연료,직거래,,E,엔진,경고등점등,I72,배기가스 문제_흰색,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P209600,,,2019/08/26,2019/08,2019,2019/10/29,2019/10,2019,2019/08/28,2019/08,2025/09/29,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,70056,64,2162,73,35310R1K,C06VA,,FR637,아프리카,,,,-,-,"[C]Temoin moteur allum diagnostic
[R]remplacement injecteurs x 3 essai conforme
[T]voyant moteur allum - DTC P209600 - Mlange carburant defaillant - fuite au niveau des injecteurs donc perte de pression carburant - injecteurs ? remplacer","[C] 진단 시 엔진 표시등
[R]인젝터 교체 x 3 규정 준수 테스트
[T] 엔진 표시등 켜짐 - DTC P209600 - 연료 혼합물 결함 - 인젝터 누출로 인한 연료 압력 손실 - 인젝터 교체 예정",R,164.13,108.33,272.46,0,SOHC - FBC,MANUAL T/M - 5 SPEED 2WD,G3LAKD126664,κ 1.0,20190822,MK177112015,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSK-@-@-@-@-0-@-C06VA-FR637-KM25000646-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,유럽,프랑스,수출,B,,미확정,JA,C06VAFR102KM2500000,KNAB3519APT080182,24321,2432107010,카파엔진,타이밍체인,체인－타이밍,직거래,,E,엔진,소음,Q72,엔진 소음/이음_공회전시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",해당,Partial,,,,2023/01/26,2023/01,2023,2023/06/05,2023/06,2023,2023/02/08,2023/02,2025/04/17,2025/04,2025/10/17,2025/10,2025/10/19,2025/10,2025,19738,130,682,23,24321R1K,C06VA,,FR102,아프리카,,,,-,-,"[C]BRUIT COTE DISTRIBUTION DECELER LORS DU TOUR VEHICULE A LA RECEPTION AVAEC LE CLIENT
[R]Remplacement kit de chaine de distribution
Essai, contr?le OK
[T]Dpose carter distribution
Contr?le calage distribution
Contr?le chaine + tendeur
Chaine distribution a remplacer
[L]16/10
Bonjour,
Veuillez trouver en pi?ce jointe le courrier type 4.
Cordialement 
Michel
[D]17/10 Approuv par l''usine. Cdlt MP","[고객과 함께 차량 점검 중 타이밍 체인 소음 감지됨
[R]타이밍 체인 키트 교체
테스트 확인
[T]타이밍 케이스 제거
타이밍 점검
타이밍 체인 + 텐셔너 점검
교체할 타이밍 체인
[L]16/10
안녕하세요,
표준 문자 4를 첨부해 드립니다.
진심으로
Michel
[D]17/10 공장에서 승인했습니다. Cdlt MP",R,144.12,277.63,421.75,0,DOHC - FBM,MANUAL T/M - 5 SPEED 2WD,G3LEPD013892,G3LⅢ1.0T-GDi,20230120,TNW5J021033,SGQZ,서산1엔진,비대상,비대상,대상,비해당,,확정,1-GWMSK-@-@-@-@-0-@-C06VA-FR102-KM25000195-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,유럽,프랑스,수출,B,,미확정,YB,C06VAFR019KM2500000,KNADB517AM6498138,27301,2730108200,카파엔진,이그니션코일,코일 어셈블리－이그니션,직거래,,E,엔진,경고등점등,V71,엔진 진동/떨림_가속시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P030000,P030200,,2020/10/20,2020/10,2020,2021/01/13,2021/01,2021,2020/10/28,2020/10,2025/09/24,2025/09,2025/10/17,2025/10,2025/10/19,2025/10,2025,58645,85,1715,58,27310R1K,C06VA,,FR019,아프리카,,,,-,-,"[C]perte de puissance et a coups moteur a l acclration
[R]remplacement bobine 2
[T]voyant moteur constat atelier lecture dtc le p030000 et le p030200 rat cylindre 2 inversion entre 1 et 2 le dfaut se dplace au cylindre 1 bobine initialement au cylindre 2 en dfaut interne a remplacer","[C] 가속 시 동력 손실 및 엔진 노크음 발생
[R] 코일 2 교체
[T] 엔진 경고등 워크샵 보고서 dtc 판독값 p030000 및 p030200 실패 실린더 2 실패 1과 2 오류 사이의 반전 실린더 2 내부 오류에서 처음에 교체할 실린더 1 코일로 이동합니다.",R,48.1,25.16,73.26,0,SOHC - TC,MANUAL T/M - 6 SPEED 2WD,G3LELD172842,G3LⅢ1.0T-GDi,20201016,U28VLH003066,RONZ,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSK-@-@-@-@-0-@-C06VA-FR019-KM25000298-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HAOS,유럽,프랑스,수출,B,,미확정,AC3,C06AB00479202510000,NLHDP51BANZ129827,21315,2131507500,카파엔진,OPCV,오일압 제어 솔레노이브 밸브,직개발,,E,엔진,누유/누기/누수,B33,부품 문제_누기/누수/누유,ZZ3,"단품 자체 불량(내부,기능,프로그램)",해당,Partial,,,,2022/02/11,2022/02,2022,2022/03/31,2022/03,2022,2022/02/22,2022/02,2025/10/17,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,14742,48,1296,44,20000A00,C06AB,,00479,유럽,,,,-,-,"[C]fuite d'huile
[R]remplacement valve de contr?le de pression d'huile
[T]contr?le moteur sur pont dtection de fuite","[C] 오일 누출
[R] 오일 압력 제어 밸브 교체
[T] 갑판 누출 감지 시 엔진 점검",R,85.11,27.37,112.48,0,DOHC - LPI,MANUAL T/M - 5 SPEED 2WD,G3LEMD192814,κ 1.0(T-GDI),20211026,TMM50J685235,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C06AB-00479-2025100103-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMMC,유럽,프랑스,수출,B,,미확정,PDH,C06AB00095202510015,TMAH351BAMJ138665,27301,2730108200,카파엔진,이그니션코일,코일 어셈블리－이그니션,직거래,,E,엔진,경고등점등,DC1,엔진 울컥거림_주행중,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,,,,2020/08/14,2020/08,2020,2020/10/08,2020/10,2020,2020/08/18,2020/08,2025/10/02,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,53369,55,1820,61,27301F01,C06AB,,00095,유럽,,,,-,-,"[C]?-coups moteur et voyant
[R]Remplacement bobine cylindre  2
[T]Application TSB HFE22 12 C252","[C] 엔진 노크 및 경고등
[R]실린더 2 코일 교체
[T]애플리케이션 TSB HFE22 12 C252",,16.84,65.69,82.53,0,DOHC - LPI,MANUAL T/M - 6 SPEED 2WD,G3LFLD096074,G3LⅢ1.0T-GDi,20200629,FLJ6F897826,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-C06AB-00095-2025100159-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,유럽,벨기에,수출,B,,미확정,JA,C02VB06377KM2500000,KNAB351AAMT724260,39350,3935007100,카파엔진,CMPS,센서－캠샤프트 포지션,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",해당,Partial,,,,2020/08/26,2020/08,2020,2020/11/03,2020/11,2020,2020/09/01,2020/09,2025/10/10,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,49802,69,1802,61,39351R1K,C02VB,,06377,유럽,,,,-,-,"[C]PLAINTE CLIENT : tmoin moteur allum
CONDITIONS : moteur allum
A QUEL MOMENT : tout le temps

CONSTAT :  Bien constat que le tmoin moteur reste allum
[R]REMEDE : remplacement capteur d'arbres ? cames (chappement)
[T]DIAGNOSTIQUE : 
1 ) DTC: P001700 corrlation position vilbrequin - position arbres ? cames (banc 1 capteur B (chappement))
2 ) contr?le c?blage => en ordre 
3 ) capteur dfectueux (arbres ? cames)
4 ) dpose et repose boitier de filtra ? air
5 ) remplacement capteur d'arbre","[C]고객 불만: 엔진 표시등 켜짐
조건: 엔진 켜짐
언제: 항상

발견: 엔진 표시등이 계속 켜져 있습니다.
[R]해결 방법: 캠샤프트 센서(배기) 교체
[T]진단 :
1 ) DTC: P001700 상관관계 크랭크축 위치 - 캠축 위치(벤치 1 센서 B(배기))
2 ) 배선 점검 => 확인
3 ) 센서 결함(캠샤프트)
4 ) 에어 필터 박스 제거 및 장착
5 ) 샤프트 센서 교체",R,16.01,108.22,124.23,0,DOHC - GDI,MANUAL T/M - 5 SPEED 2WD,G4LFLD126527,G4LⅢ1.2MPI,20200815,7TE5K0890374,S045,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSK-@-@-@-@-0-@-C02VB-06377-KM25000013-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,유럽,오스트리아,수출,B,,미확정,YB,C01VAAT159KM2500000,KNAD6817AM6488208,25100,2510007501,카파엔진,,펌프 어셈블리－쿨런트,직개발,,E,엔진,소음,L31,냉각수 문제_누수,ZZ2,단품 외관 손상/파손 불량,,,,,,2020/09/14,2020/09,2020,2020/11/12,2020/11,2020,2020/09/19,2020/09,2025/10/01,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,61753,59,1784,60,25100R4K,C01VA,,AT159,유럽,,,,-,-,"[C]Lautes Ger?usch bei laufenden Motor
[R]Fehlersuche u. Diagnose durchgef?hrt -- Wasserpumpe Lagerspiel u. undicht > Wasserpumpe erneuert - K?hlfl?ssigkeit erg?nzt sowie K?hlsystem entl?ftet > Endkontrolle durchgef?hrt: OK
[T]Quietschger?usch aus Motorraum h?rbar
[L]LG Ingo","[C]엔진 시동 시 큰 소음 발생
[R]문제 해결 및 진단 수행 - 워터 펌프 베어링 유격 및 누수 > 워터 펌프 교체 - 냉각수 추가 및 냉각 시스템 블리딩 > 최종 점검 수행: OK
[T]엔진룸에서 삐걱거리는 소리 들림
[L]LG Ingo",R,72.77,349.54,422.31,0,SOHC - TC,MANUAL T/M - 6 SPEED 2WD,G3LELD147188,G3LⅢ1.0T-GDi,20200910,U29VLH001503,RI14,서산1엔진,비대상,비대상,비대상,비해당,,미확인,1-GWMSK-@-@-@-@-0-@-C01VA-AT159-KM25000403-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMB,중남미,브라질,현지,B,,미확정,SU2B,B05AM16003202510000,9BHPA81EBSP200222,39360,393602T500,,,압력센서 - 크랭크케이스 벤틸레이,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",,,,,,2025/02/06,2025/02,2025,2025/05/06,2025/05,2025,2025/02/25,2025/02,2025/10/17,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,21208,89,164,6,39361R00,B05AM,,16003,중남미,,,,-,-,"[C]Cliente alega luz de inje??o acesa no painel.
[R]Substitudo sensor de press?o do c?rter
[T]Luz de inje??o acesa no painel onde com auxlio do GDS apresenta DTC de falha do sensor de press?o do c?rter, removemos e instalamos o sensor em um veculo para teste e a falha seguiu com a pe?a comprovando defeito da mesma.","[C]고객이 대시보드에 인젝션 라이트가 있다고 주장합니다.
[R]크랭크케이스 압력 센서 교체됨
[T]대시보드에 인젝션 표시등이 켜지고 GDS의 도움으로 크랭크케이스 압력 센서 결함 DTC가 표시됨. 테스트를 위해 차량에 센서를 제거하고 설치한 결과 해당 부품에서 결함이 계속 발생하여 결함이 있는 것으로 확인되었습니다.",,94.12,14.19,108.31,0,SOHC - LPI,AUTO - 6 SPEED 2WD,F3LERD170724,G3LⅢ1.0T-GDi,20240921,RARXWU081293,SEF9,서산1엔진,비대상,대상,대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-B05AM-16003-2025100088-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMB,중남미,브라질,현지,B,,미확정,SU2B,B05AM07001202510000,9BHPC81EBSP195527,35310,3531007FF0,,,인젝터 어셈블리-연료,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",,,,,,2025/01/18,2025/01,2025,2025/02/07,2025/02,2025,2025/01/20,2025/01,2025/10/17,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,30667,20,252,9,35310R5T,B05AM,,07001,중남미,,,,-,-,"[C]CLIENTE RELATA VEICULO FALHANDO E LUZ DE INJECAO ACESA
[R]passado substitui??o em garantia do bico injetor
[T]durante a verifica??o do problema relatado foi passado o aparelho GTS na qual apresentou DTC p030300 cilindro 3
detectado a falha na igni??o, p03000 detectadas falhas de igni??o aleatria em v?rios cilindros ponto realizado teste
de bico injetores onde constatado falha","[고객이 차량 고장 및 인젝션 표시등 점등 보고
[R] 보증에 따라 인젝터 노즐 교체됨
[T]보고된 문제를 확인하는 동안 GTS 장치가 실행되어 DTC p030300 실린더 3이 표시됨.
점화 실패 감지, p03000 여러 실린더에서 무작위 점화 실패 감지 발견 된 경우 인젝터 노즐 테스트를 수행했습니다.
결함이 발견 된 인젝터 노즐 테스트",,158.53,51.49,210.03,0,SOHC - LPI,AUTO - 6 SPEED 2WD,F3LERD190359,G3LⅢ1.0T-GDi,20241016,RARXWU055947,,서산1엔진,비대상,대상,대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-B05AM-07001-2025100139-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMB,중남미,브라질,현지,B,,미확정,SU2B,B05AM07001202510000,9BHPC81EBSP195527,35310,3531007FF0,,,인젝터 어셈블리-연료,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",,,,,,2025/01/18,2025/01,2025,2025/02/07,2025/02,2025,2025/01/20,2025/01,2025/10/10,2025/10,1900/01/01,1900/01,2025/10/19,2025/10,2025,30667,20,245,9,35310R5T,B05AM,,07001,중남미,,,,-,-,"[C]BBBBBBBBBBBBB
[R]BBBBBBBBBBBBBBB
[T]BBBBBBBBBBBBB","[c]bbbbbbbbbbbbbbbbb
[r]bbbbbbbbbbbbbbbbbbb
[t]bbbbbbbbbbbbbbbbb",,0,0,0,0,SOHC - LPI,AUTO - 6 SPEED 2WD,F3LERD190359,G3LⅢ1.0T-GDi,20241016,RARXWU055947,,서산1엔진,비대상,대상,대상,비해당,,미확인,1-GWMSH-@-@-@-@-0-@-B05AM-07001-2025100129-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,KIN,인도,인도,현지,B,,미확정,SP2I,A10VAUP408W00250000,MZBET811VPN490893,39400,3940003AB0,카파엔진,WGCA,밸브－솔레노이드 웨이스트 게이트 컨트롤,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ4,단품 재질 불량,비해당,비해당,,,,2023/02/07,2023/02,2023,2023/03/25,2023/03,2023,2023/02/16,2023/02,2025/10/06,2025/10,2025/10/17,2025/10,2025/10/19,2025/10,2025,27510,46,926,31,39450R1K,A10VA,,UP408,아시아,,,,-,-,"[C]Vehicle reported in our workshop with the complaint of low pick up
[R]Our technician diagnosed the vehicle with KDS P004500 Turbo  charger boost control solenoid. VALVE-SOLENOID WASTE GATE CONT need to be replaced in order to resolved the concern.
[T]Our technician diagnosed the vehicle with KDS P004500 Turbo  charger boost control solenoid. VALVE-SOLENOID WASTE GATE CONT need to be replaced in order to resolved the concern.","[C] 차량이 낮은 픽업에 대한 불만과 함께 정비소에 보고되었습니다.
[R] 기술자가 KDS P004500 터보 차저 부스트 제어 솔레노이드로 차량을 진단했습니다. 문제를 해결하려면 밸브-솔레노이드 웨이스트 게이트 콘트를 교체해야 합니다.
[T]당사의 테크니션이 KDS P004500 터보 차저 부스트 제어 솔레노이드로 차량을 진단했습니다. 문제를 해결하려면 밸브 솔레노이드 폐기물 게이트 콘트를 교체해야 합니다.",,112.3,7,119.31,0,SOHC - FBC,DCT - 7 SPEED 2WD,G4LDND206931,κ 1.4(T-GDI),20221122,M16WNDA28036,,서산1엔진,비대상,비대상,대상,비해당,,확정,1-GWMSK-@-@-@-@-0-@-A10VA-UP408-W002500775-0-1,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMC,한국,한국,내수,B,,미확정,AX1,T1Z0022025200188100,KMHB3518BPW054393,25100,2510007010,카파엔진,워터펌프,펌프 어셈블리－쿨런트,직거래,,E,엔진,소음,Q72,엔진 소음/이음_공회전시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,,,,2022/11/14,2022/11,2022,2022/11/28,2022/11,2022,2022/11/23,2022/11,2025/10/16,2025/10,2025/10/17,2025/10,2025/10/18,2025/10,2025,83096,14,1053,36,25100R00,T1Z002,세기자동차공업사,-,한국,제주도,간접망,세기자동차공업사,-,-,"[C]1.현상 : 냉간시동시 소음발생
2.점검내용 및 원인 : 냉간시  엔진소음  점검시 워터펌프에서  소음발생확인됨(동영상첨부)
3.조치내용 : 워터펌프 어셈블리 교환후 출고
4.요망사항 : 요망 사항 없음",,,53.75,38.68,92.42,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDND190425,G3LⅢ1.0MPI,20221028,EN4WD3299670,RI14,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWH-T1Z002-2025-2-001881-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
